Cand_Name,Cand_Office,Cand_Office_St,Cand_Party_Affiliation,Cand_Incumbent_Challenger_Open_Seat
"MELENDEZ, JOHN",S,CA,DEM,CHALLENGER
"BRENNAN, CHRISTOPHER",S,CA,DEM,CHALLENGER
"STOKES, STEVE",S,CA,DEM,CHALLENGER
"HARTSON, ALISON",S,CA,DEM,CHALLENGER
"HILDEBRAND, DAVID",S,CA,DEM,CHALLENGER
"PIERCE, DOUGLAS HOWARD",S,CA,DEM,CHALLENGER
"FEINSTEIN, DIANNE",S,CA,DEM,INCUMBENT
"HARRIS, EUGENE PATTERSON",S,CA,DEM,CHALLENGER
"PETERS , HERBERT G.",S,CA,DEM,CHALLENGER
"EDWARDS, ADRIENNE NICOLE",S,CA,DEM,CHALLENGER
"PLUMMER, GERALD",S,CA,DEM,CHALLENGER
"TURNER, DONNIE O",S,CA,DEM,CHALLENGER
"ZIESING, MICHAEL VINCENT",S,CA,MPA/IND,CHALLENGER
"HODGE, CHARLES JUNIOR",S,CA,MPA/IND,CHALLENGER
"EISEN, MICHAEL DR",S,CA,MPA/IND,CHALLENGER
"REID, DERRICK MICHAEL",S,CA,MPA/IND,CHALLENGER
"OLSON, LEE W",S,CA,MPA/IND,CHALLENGER
"GILDERSLEEVE, TIM",S,CA,MPA/IND,CHALLENGER
"FERNALD, COLLEEN",S,CA,MPA/IND,CHALLENGER
"HANANIA, JASON",S,CA,MPA/IND,CHALLENGER
"SHI, LING LING",S,CA,MPA/IND,CHALLENGER
"GHOSH, RASH BIHARI",S,CA,MPA/IND,CHALLENGER
"MOORE, DAVID",S,CA,MPA/IND,CHALLENGER
"GIRGIS, MICHAEL FAHMY",S,CA,MPA/IND,CHALLENGER
"GRUNDMANN, DON J.",S,CA,MPA/IND,CHALLENGER
"PARKER, JOHN",S,CA,MPA/IND,CHALLENGER
"CARROLL, JERRY LEON",S,CA,MPA/IND,CHALLENGER
"ROBERTS, CLIFTON",S,CA,MPA/IND,CHALLENGER
"LE, DIEN MR",S,CA,MPA/IND,
"SCHRADER, STEPHEN JAMES",S,CA,REP,CHALLENGER
"LANCONA, CAREN DIANNA",S,CA,REP,CHALLENGER
"TAYLOR, PAUL ALLEN MR",S,CA,REP,CHALLENGER
"ADAMS, DONALD R",S,CA,REP,CHALLENGER
"LITTLE, PATRICK",S,CA,REP,CHALLENGER
"DE LA FUENTE, ROQUE ROCKY",S,CA,REP,CHALLENGER
"CRUZ, ERIN",S,CA,REP,CHALLENGER
"BHUMITRA, ARUN K",S,CA,REP,CHALLENGER
"KALEMKARIAN, TIMOTHY CHARLES",S,CA,REP,CHALLENGER
"COSON, GARY LYNN",S,CA,REP,CHALLENGER
"BRADLEY, JAMES PATRICK MR",S,CA,REP,CHALLENGER
"NABLIBA, MARIO",S,CA,REP,CHALLENGER
"LAWS, JERRY JOSEPH",S,CA,REP,CHALLENGER
"PALZER, THOMAS EDWARD",S,CA,REP,CHALLENGER
"CREW, JOHN 'JACK'",S,CA,REP,CHALLENGER
"MOTTUS, KEVIN",S,CA,REP,CHALLENGER
"MEAD, RICHARD THOMAS",S,CA,MPA/IND,CHALLENGER
"ADAMS, ANN MARIE DR",S,CT,DEM,CHALLENGER
"MURPHY, CHRISTOPHER S MR",S,CT,DEM,INCUMBENT
"ELGIN, T J",S,CT,MPA/IND,CHALLENGER
"LINCK, FRED M",S,CT,MPA/IND,CHALLENGER
"RAPINI, DOMINIC",S,CT,REP,CHALLENGER
"VISCONTI, JOE",S,CT,REP,CHALLENGER
"COREY, MATTHEW MCKINNON",S,CT,REP,CHALLENGER
"BOOKER, TYKIEM",S,DE,DEM,CHALLENGER
"HARRIS, KERRI EVELYN",S,DE,DEM,CHALLENGER
"CARPER, THOMAS R",S,DE,DEM,INCUMBENT
"THEODOROPOULOS, DEMITRI GEORGE",S,DE,MPA/IND,CHALLENGER
"FROST, NADINE",S,DE,MPA/IND,CHALLENGER
"ARLETT, ROB",S,DE,REP,CHALLENGER
"BOYCE, HENRY CHARLES  'CHUCK'  JR",S,DE,REP,CHALLENGER
"TRUONO, EUGENE (GENE) J JR",S,DE,REP,CHALLENGER
"LYLES, TAMIKA",S,FL,DEM,CHALLENGER
"WHITE, RANDY ALAN",S,FL,DEM,CHALLENGER
"NELSON, BILL",S,FL,DEM,INCUMBENT
"THORNE, MARCIA ROBERTA",S,FL,MPA/IND,CHALLENGER
"SHOEMAKER, FRANKLIN ED",S,FL,MPA/IND,CHALLENGER
"TOLBERT, CHARLES FREDRICK",S,FL,MPA/IND,
"KNEPPER, HOWARD",S,FL,MPA/IND,
"WALLS-WINDHAUSER, ANGELA MARIE",S,FL,REP,CHALLENGER
"INVICTUS, AUGUSTUS SOL",S,FL,REP,CHALLENGER
"FULLER, VIRGINIA",S,FL,REP,CHALLENGER
"SCOTT, RICK",S,FL,REP,CHALLENGER
"DE LA FUENTE, ROQUE 'ROCKY'",S,FL,REP,CHALLENGER
"JONES, LATERESA ANN",S,FL,REP,CHALLENGER
"WEEKS, DAVID KENNETH",S,FL,MPA/IND,CHALLENGER
"JANOWSKI, EDWARD JOHN JR",S,FL,MPA/IND,CHALLENGER
"HIRONO, MAZIE K",S,HI,DEM,INCUMBENT
"REYES, ARTURO PACHECO",S,HI,MPA/IND,CHALLENGER
"ANDERSON, CONSUELO E",S,HI,REP,CHALLENGER
"PIRKOWSKI, EDWARD (EDDIE)",S,HI,REP,CHALLENGER
"WHITE, THOMAS EDWARD MR",S,HI,REP,CHALLENGER
"DUCKWORTH, L TAMMY",S,IL,DEM,INCUMBENT
"DEL RIO, MARTIN",S,IN,DEM,CHALLENGER
"DONNELLY, JOSEPH S",S,IN,DEM,INCUMBENT
"PIPER, JOHN PATRICK",S,IN,MPA/IND,CHALLENGER
"ALTMAN, NATHAN J",S,IN,MPA/IND,CHALLENGER
"BRENTON, LUCY",S,IN,MPA/IND,CHALLENGER
"HENDERSON, TERRY O",S,IN,REP,CHALLENGER
"STONE, KIEL RICHARD",S,IN,REP,CHALLENGER
"BRAUN, MIKE",S,IN,REP,CHALLENGER
"TAKAMI, ANDREW BENJAMIN",S,IN,REP,CHALLENGER
"MESSER, ALLEN LUCAS",S,IN,REP,CHALLENGER
"HORNING, ANDY",S,IN,REP,CHALLENGER
"ROKITA, THEODORE EDWARD",S,IN,REP,CHALLENGER
"HURT, MARK",S,IN,REP,CHALLENGER
"STRAW, ANDREW U D",S,IN,MPA/IND,CHALLENGER
"WARREN, ELIZABETH",S,MA,DEM,INCUMBENT
"GALLO, LOUIS EDWARD",S,MA,MPA/IND,CHALLENGER
"DEVINE, JOHN P",S,MA,MPA/IND,CHALLENGER
"WATERS, ALLEN RODNEY",S,MA,MPA/IND,CHALLENGER
"AYYADURAI, SHIVA  DR",S,MA,MPA/IND,CHALLENGER
"MITCHELL, DARIUS",S,MA,REP,CHALLENGER
"WELLMAN, HEIDI M",S,MA,REP,CHALLENGER
"KINGSTON, JOHN MR",S,MA,REP,CHALLENGER
"DIEHL, GEOFF",S,MA,REP,CHALLENGER
"LINDSTROM, BETH",S,MA,REP,CHALLENGER
"MASON, MIA DANIELLE",S,MD,DEM,CHALLENGER
"VAUGHN, RICHARD RIKKI",S,MD,DEM,CHALLENGER
"YOUNG, LIH",S,MD,DEM,CHALLENGER
"WILSON, DEBBIE 'RICA'",S,MD,DEM,CHALLENGER
"MANNING, CHELSEA ELIZABETH",S,MD,DEM,CHALLENGER
"JETMIR, ERIK",S,MD,DEM,CHALLENGER
"MORGAN, MARCIA H.",S,MD,DEM,CHALLENGER
"CARDIN, BENJAMIN L",S,MD,DEM,INCUMBENT
"SEGAL, JEROME",S,MD,DEM,CHALLENGER
"GLADSTONE, STEVE",S,MD,MPA/IND,CHALLENGER
"SIMON, NEAL",S,MD,MPA/IND,CHALLENGER
"VOHRA, ARVIN",S,MD,MPA/IND,CHALLENGER
"FADDIS, CHARLES S",S,MD,REP,CHALLENGER
"TAYLOR, BLAINE",S,MD,REP,CHALLENGER
"VAETH , BRIAN",S,MD,REP,CHALLENGER
"CHAFFEE, CHRIS",S,MD,REP,CHALLENGER
"GRAZIANI, JOHN R",S,MD,REP,CHALLENGER
"CRONHARDT, EVAN M.",S,MD,REP,CHALLENGER
"KREHNBRINK, BILL",S,MD,REP,CHALLENGER
"SMITH, GERALD I. JR",S,MD,REP,CHALLENGER
"EZE, NNABU",S,MD,REP,CHALLENGER
"HOWARD, ALBERT BINYAHMIN",S,MD,REP,CHALLENGER
"CAMPBELL, ANTONO WADE",S,MD,REP,CHALLENGER
"GRIGORIAN, CHRISTINA",S,MD,REP,CHALLENGER
"RINGELSTEIN, ZACKARY (ZAK)",S,ME,DEM,CHALLENGER
"HAMMER, ALEX",S,ME,MPA/IND,CHALLENGER
"KING, ANGUS STANLEY JR",S,ME,MPA/IND,INCUMBENT
"LINN, MAX",S,ME,REP,CHALLENGER
"BRAKEY, ERIC",S,ME,REP,CHALLENGER
"SMITH, CRAIG ALLEN",S,MI,DEM,CHALLENGER
"STABENOW, DEBBIE",S,MI,DEM,INCUMBENT
"BELLE, ANITA E",S,MI,MPA/IND,CHALLENGER
"WILLIS, VALERIE LEE",S,MI,MPA/IND,CHALLENGER
"ELLISON, BRIAN JAMES",S,MI,MPA/IND,CHALLENGER
"WEEKS, JAMES",S,MI,MPA/IND,CHALLENGER
"JAMES, JOHN",S,MI,REP,CHALLENGER
"CARR, BOB",S,MI,REP,CHALLENGER
"YOUNG, BOB",S,MI,REP,CHALLENGER
"PENSLER, SANDY",S,MI,REP,CHALLENGER
"LEONARD, NICK",S,MN,DEM,CHALLENGER
"CARLSON, STEPHEN WAYNE",S,MN,DEM,CHALLENGER
"ALI, ALI CHEHEM",S,MN,DEM,CHALLENGER
"SMITH, TINA FLINT",S,MN,DEM,INCUMBENT
"EMERY, STEPHEN ALLEN",S,MN,DEM,CHALLENGER
"KLOBUCHAR, AMY",S,MN,DEM,INCUMBENT
"PAINTER, RICHARD",S,MN,MPA/IND,CHALLENGER
"IVERSON, GREGG A",S,MN,MPA/IND,
"RICHARDS, LEONARD",S,MN,MPA/IND,CHALLENGER
"TROOIEN, JERRY",S,MN,MPA/IND,CHALLENGER
"ANDERSON, BOB",S,MN,REP,CHALLENGER
"HYATT, FOREST W",S,MN,REP,CHALLENGER
"CHAMBERLIN, CHRISTOPHER, WILLIAM MR",S,MN,REP,CHALLENGER
"SHUDLICK, HAROLD A",S,MN,REP,CHALLENGER
"BARNHEISER, ROBERT BRUCE",S,MN,REP,CHALLENGER
"NEWBERGER, JAMES WALLACE",S,MN,REP,CHALLENGER
"ANDERSON, MERRILL",S,MN,REP,CHALLENGER
"ANDERSON, RAE HART",S,MN,REP,CHALLENGER
"BEY, NIKOLAY N",S,MN,REP,CHALLENGER
"HOUSLEY, KARIN",S,MN,REP,CHALLENGER
"EARL, ANGELICA",S,MO,DEM,CHALLENGER
"FAUST, DAVID",S,MO,DEM,CHALLENGER
"GONZALEZ, TRAVIS",S,MO,DEM,CHALLENGER
"HOGAN, JOHN",S,MO,DEM,CHALLENGER
"STEINMAN, LEONARD JOSEPH II",S,MO,DEM,CHALLENGER
"WRIGHT, CARLA (COFFEE)",S,MO,DEM,CHALLENGER
"MCCASKILL, CLAIRE",S,MO,DEM,INCUMBENT
"BAUER, JEROME",S,MO,MPA/IND,CHALLENGER
"CRAIN, JO",S,MO,MPA/IND,CHALLENGER
"O''DEAR, CRAIG S",S,MO,MPA/IND,CHALLENGER
"CAMPBELL, JAPHETH RAY",S,MO,MPA/IND,CHALLENGER
"SYKES, B COURTLAND",S,MO,REP,CHALLENGER
"LOMBARDI-OLIVE, CAMILLE",S,MO,REP,CHALLENGER
"MONETTI, RAFFAELE ANTONIO",S,MO,REP,CHALLENGER
"AKIN, W TODD",S,MO,REP,CHALLENGER
"KREMBS, BRADLEY STEWART",S,MO,REP,CHALLENGER
"NICHOLS, KRISTI",S,MO,REP,CHALLENGER
"RYMAN, FRED",S,MO,REP,CHALLENGER
"HAGG, BRIAN G",S,MO,REP,CHALLENGER
"PATTERSON, KEN",S,MO,REP,CHALLENGER
"PFEIFER, PETER",S,MO,REP,CHALLENGER
"HAWLEY, JOSHUA DAVID",S,MO,REP,CHALLENGER
"PETERSEN, AUSTIN",S,MO,REP,CHALLENGER
"SMITH, CHRISTINA",S,MO,REP,CHALLENGER
"GARLAND, JAMES JERONE",S,MS,DEM,OPEN
"BARTEE, TOBEY BERNARD",S,MS,DEM,OPEN
"SHERMAN, HOWARD",S,MS,DEM,CHALLENGER
"BARIA, DAVID WAYNE",S,MS,DEM,OPEN
"BOHREN, JENSEN MR",S,MS,DEM,CHALLENGER
"MAURICE, VICTOR G.",S,MS,DEM,OPEN
"ESPY, ALPHONSO MICHAEL",S,MS,DEM,OPEN
"SCOTT, OMERIA LANE",S,MS,DEM,CHALLENGER
"BEDWELL, DANNY",S,MS,MPA/IND,OPEN
"SHELTON, JASON",S,MS,MPA/IND,OPEN
"O'HARA, SHAWN",S,MS,MPA/IND,CHALLENGER
"BOYANTON, RICHARD WARREN",S,MS,REP,CHALLENGER
"WICKER, ROGER F",S,MS,REP,INCUMBENT
"HYDE-SMITH, CINDY",S,MS,REP,OPEN
"MCDANIEL, CHRISTOPHER BRIAN",S,MS,REP,OPEN
"DEAN, SARAH ALEXIS",S,MT,DEM,CHALLENGER
"STRANDBERG, GREG",S,MT,DEM,CHALLENGER
"TESTER, JON",S,MT,DEM,INCUMBENT
"KELLY, STEVE",S,MT,MPA/IND,CHALLENGER
"ADAMS, TIMOTHY",S,MT,MPA/IND,CHALLENGER
"BRECKENRIDGE, RICK",S,MT,MPA/IND,CHALLENGER
"MURRAY, RONALD",S,MT,REP,CHALLENGER
"DEAN, WILLIAM JAMES",S,MT,REP,CHALLENGER
"OLSZEWSKI, ALBERT DAVID",S,MT,REP,CHALLENGER
"ROSENDALE, MATT",S,MT,REP,CHALLENGER
"FAGG, RUSSELL C",S,MT,REP,CHALLENGER
"DOWNING, TROY",S,MT,REP,CHALLENGER
"STRICKLAND, TIMMY WAYNE MR",S,NC,MPA/IND,CHALLENGER
"ABRAMS, MARCIA KAREN DR PHD",S,NC,REP,CHALLENGER
"PEYER, DUSTIN DAVID",S,ND,DEM,CHALLENGER
"HEITKAMP, HEIDI",S,ND,DEM,INCUMBENT
"CRAMER, KEVIN",S,ND,REP,CHALLENGER
"SCHAFFNER, PAUL",S,ND,REP,CHALLENGER
"O''NEILL, THOMAS E.",S,ND,REP,CHALLENGER
"CAMPBELL, TOM",S,ND,REP,CHALLENGER
"SVOBODA, FRANK B",S,NE,DEM,CHALLENGER
"JANICEK, CHRIS EDWARD MR",S,NE,DEM,CHALLENGER
"MARVIN, LARRY",S,NE,DEM,CHALLENGER
"RAYBOULD, JANE MICHELE",S,NE,DEM,CHALLENGER
"SCHULTZ, JIM",S,NE,MPA/IND,CHALLENGER
"WATSON, TODD",S,NE,REP,CHALLENGER
"HEIDEL, JACK",S,NE,REP,CHALLENGER
"MACEK, DENNIS FRANK",S,NE,REP,CHALLENGER
"FISCHER, DEBRA S",S,NE,REP,INCUMBENT
"STEIN, JEFFREY LYNN",S,NE,REP,CHALLENGER
"KABIR, MOHAMMAD SHAHJAHAN",S,NJ,DEM,CHALLENGER
"MCCORMICK, LISA A",S,NJ,DEM,CHALLENGER
"HORN, MITCHELL",S,NJ,DEM,CHALLENGER
"MENENDEZ, ROBERT",S,NJ,DEM,INCUMBENT
"HOPKINS, MICHAEL STARR",S,NJ,DEM,CHALLENGER
"USMAN, MUHAMMAD",S,NJ,MPA/IND,CHALLENGER
"FLANAGAN, PATRICIA",S,NJ,MPA/IND,CHALLENGER
"RIVERA, NATALIE LYNN",S,NJ,MPA/IND,CHALLENGER
"SABRIN, MURRAY",S,NJ,MPA/IND,CHALLENGER
"SINGH, HIRSH",S,NJ,REP,CHALLENGER
"WATSON, JERRY B",S,NJ,REP,CHALLENGER
"BELL, JEFFREY",S,NJ,REP,CHALLENGER
"WEFER, DANA LAUREN",S,NJ,REP,CHALLENGER
"GOLDBERG, BRIAN DAVID MR",S,NJ,REP,CHALLENGER
"HUGIN, ROBERT",S,NJ,REP,CHALLENGER
"PEZZULLO, RICHARD J",S,NJ,REP,CHALLENGER
"HEINRICH, MARTIN TREVOR",S,NM,DEM,INCUMBENT
"DUNN, AUBREY",S,NM,MPA/IND,CHALLENGER
"RICH, MICK",S,NM,REP,CHALLENGER
"SBAIH, JESSE",S,NV,DEM,CHALLENGER
"CRADDOCK, JAY GREGORY",S,NV,DEM,CHALLENGER
"MAHENDRA, SUJEET BOBBY NARENDRA",S,NV,DEM,CHALLENGER
"RHEINHART, ALLEN",S,NV,DEM,CHALLENGER
"KNIGHT, DAVID DREW",S,NV,DEM,CHALLENGER
"BURLEIGH, DANIEL REED",S,NV,DEM,CHALLENGER
"ROSEN, JACKY",S,NV,DEM,CHALLENGER
"BAKARI, KAMAU A.",S,NV,MPA/IND,CHALLENGER
"HAGAN, TIM",S,NV,MPA/IND,CHALLENGER
"CHARLES, RICHARD",S,NV,MPA/IND,CHALLENGER
"MICHAELS, BARRY",S,NV,MPA/IND,CHALLENGER
"MEYERS, GARY ANTHONY MR",S,NV,REP,CHALLENGER
"HECK, THOMAS",S,NV,REP,CHALLENGER
"BROOKS, SHERRY",S,NV,REP,CHALLENGER
"HELLER, DEAN",S,NV,REP,INCUMBENT
"GAZALA, SARAH",S,NV,REP,CHALLENGER
"HARRELL, VIC",S,NV,REP,CHALLENGER
"NOREN, SCOTT ANDREW",S,NY,DEM,CHALLENGER
"GILLIBRAND, KIRSTEN ELIZABETH",S,NY,DEM,INCUMBENT
"TEMURI, PRINCE MUHAMMAD, ALI, HH",S,NY,MPA/IND,
"WEBBER, DAVID A",S,NY,MPA/IND,CHALLENGER
"HAHN, PATRICK JOHN",S,NY,REP,CHALLENGER
"HOLLAND, JOSEPH H",S,NY,REP,CHALLENGER
"JONES, RAFAEL ARDEN SR",S,NY,REP,CHALLENGER
"FARLEY, CHELE CHIAVACCI",S,NY,REP,CHALLENGER
"BROWN, SHERROD",S,OH,DEM,INCUMBENT
"FARLEY, PHILENA IRENE",S,OH,MPA/IND,CHALLENGER
"ECKHART, DON ELIJAH",S,OH,REP,CHALLENGER
"PINION, TIMOTHY A.",S,OH,REP,CHALLENGER
"JONES, DENNIS M MR",S,OH,REP,CHALLENGER
"ACKISON, MELISSA",S,OH,REP,CHALLENGER
"RENACCI, JAMES B",S,OH,REP,CHALLENGER
"GIBBONS, MICHAEL",S,OH,REP,CHALLENGER
"KILEY, DAN",S,OH,REP,CHALLENGER
"UHRIC, RAYMOND JOHN MR",S,PA,DEM,CHALLENGER
"CASEY, ROBERT P JR",S,PA,DEM,INCUMBENT
"GALE, NEAL",S,PA,MPA/IND,CHALLENGER
"KERNS JR, DALE RONALD",S,PA,MPA/IND,CHALLENGER
"SACCONE, RICK",S,PA,REP,CHALLENGER
"BARTOS, JEFFREY A",S,PA,REP,CHALLENGER
"DELONG, PAUL FREDERICK",S,PA,REP,CHALLENGER
"AYERS, CYNTHIA ELLEN",S,PA,REP,CHALLENGER
"SHECKTOR, ANDREW",S,PA,REP,CHALLENGER
"VODVARKA, JOSEPH JOHN",S,PA,REP,CHALLENGER
"LAWRENCE, ROBERT MR",S,PA,REP,CHALLENGER
"ADDIS , PAUL DAVID MR",S,PA,REP,CHALLENGER
"BARLETTA, LOU",S,PA,REP,CHALLENGER
"CHRISTIANA, JAMES JOSEPH III",S,PA,REP,CHALLENGER
"PRESSMAN, JONATHAN",S,RI,DEM,CHALLENGER
"WHITEHOUSE, SHELDON II",S,RI,DEM,INCUMBENT
"FLANDERS, ROBERT MR",S,RI,REP,CHALLENGER
"NARDOLILLO, ROBERT ANTHONY III",S,RI,REP,CHALLENGER
"BAILEY, BILLY",S,TN,DEM,OPEN
"BREDESEN, PHILIP",S,TN,DEM,OPEN
"MACKLER, JAMES",S,TN,DEM,OPEN
"WILLIAMS, LYNNETTE DR",S,TN,DEM,OPEN
"DAVIS, GARY GENE",S,TN,DEM,OPEN
"WOLFE, JOHN",S,TN,DEM,OPEN
"MCCANTS, KEVIN LEE",S,TN,MPA/IND,OPEN
"TODD, KRIS L",S,TN,MPA/IND,OPEN
"PHILLIPS, BARTHOLOMEW J",S,TN,MPA/IND,OPEN
"AUSTIN, TRUDY A",S,TN,MPA/IND,OPEN
"CARICO, JOHN",S,TN,MPA/IND,OPEN
"HILL, DEAN",S,TN,MPA/IND,OPEN
"MANTANONA, NICHOLAS BRENT MR",S,TN,MPA/IND,OPEN
"TOYOS, ROLANDO",S,TN,REP,OPEN
"HUGHES, STEVEN DAVID MR",S,TN,REP,OPEN
"FINCHER, STEPHEN",S,TN,REP,OPEN
"PETTIGREW, AARON L",S,TN,REP,OPEN
"CRIM, LARRY R",S,TN,REP,OPEN
"PHILLIPS, ROBERT BRETON",S,TN,REP,OPEN
"BLACKBURN, MARSHA MRS",S,TN,REP,OPEN
"HERNANDEZ, IRASEMA RAMIREZ",S,TX,DEM,CHALLENGER
"WEBB, DUSTIN RAY",S,TX,DEM,CHALLENGER
"MCALLEN, ROMAN JAMES ALFRED",S,TX,DEM,CHALLENGER
"KIMBROUGH, EDWARD WAYNE",S,TX,DEM,CHALLENGER
"O'ROURKE, ROBERT (BETO)",S,TX,DEM,CHALLENGER
"BIBLE, CARL ALEXANDER",S,TX,MPA/IND,CHALLENGER
"JENKINS, JONATHAN",S,TX,MPA/IND,CHALLENGER
"NEWSOM, SHANE D.",S,TX,MPA/IND,CHALLENGER
"GANJOO, SHALESH",S,TX,MPA/IND,CHALLENGER
"GRAY, PHIL",S,TX,MPA/IND,CHALLENGER
"MORRIS, RICKY DEAN JR.",S,TX,MPA/IND,CHALLENGER
"DIKEMAN, NEAL MONROE",S,TX,MPA/IND,CHALLENGER
"DILLINGHAM, THOMAS WAYNE",S,TX,REP,CHALLENGER
"JACOBSON JR, BRUCE",S,TX,REP,CHALLENGER
"DE STEFANO, STEFANO",S,TX,REP,CHALLENGER
"DAY, TIMOTHY (TEXAS SLIM)",S,TX,REP,CHALLENGER
"CRUZ, RAFAEL EDWARD TED",S,TX,REP,INCUMBENT
"SAM, GERALDINE",S,TX,REP,CHALLENGER
"MILLER, MARY ANN",S,TX,REP,CHALLENGER
"SINGER, JAMES COURAGE",S,UT,DEM,OPEN
"VICE, MITCHELL KENT",S,UT,DEM,OPEN
"DRANSFIELD, JEFF",S,UT,DEM,OPEN
"LIVINGSTON, LARRY",S,UT,DEM,OPEN
"DREW, DANNY",S,UT,DEM,OPEN
"WILSON, JENNY",S,UT,DEM,OPEN
"MCCANDLESS, REED C.",S,UT,MPA/IND,OPEN
"BOWDEN, CRAIG",S,UT,MPA/IND,OPEN
"AALDERS, TIMOTHY NOEL",S,UT,MPA/IND,OPEN
"KENNEDY, MIKE",S,UT,REP,OPEN
"MEYERS, LARRY MICHAEL",S,UT,REP,OPEN
"FRIEDBAUM, JEREMY",S,UT,REP,OPEN
"BRUNSON, LOY",S,UT,REP,OPEN
"FONUA, STONEY",S,UT,REP,OPEN
"COLVIN, ALICIA",S,UT,REP,OPEN
"JENKINS, ABE LINCOLN BRIAN",S,UT,REP,OPEN
"JENKINS, TORREY",S,UT,REP,OPEN
"JIMENEZ, TIMOTHY ADRIAN",S,UT,REP,OPEN
"LEE, JOSHUA C.",S,UT,REP,OPEN
"PARKER, SAMUEL B.",S,UT,REP,OPEN
"ROMNEY, MITT WILLARD MR",S,UT,REP,OPEN
"KAINE, TIMOTHY MICHAEL",S,VA,DEM,INCUMBENT
"YABUT, JOSHUA PHILIP",S,VA,MPA/IND,CHALLENGER
"WATERS, MATT",S,VA,MPA/IND,CHALLENGER
"DIAZ, MINERVA DR",S,VA,REP,CHALLENGER
"MIZUSAWA, BERT K",S,VA,REP,CHALLENGER
"JACKSON, EARL W SR",S,VA,REP,CHALLENGER
"STEWART, COREY ALAN",S,VA,REP,CHALLENGER
"FREITAS, NICHOLAS JASON",S,VA,REP,CHALLENGER
"RAIKLIN, IVAN ERIC",S,VA,REP,CHALLENGER
"ADELUOLA, FOLASADE",S,VT,DEM,CHALLENGER
"SVITAVSKY, JON",S,VT,DEM,CHALLENGER
"SANDERS, BERNARD",S,VT,MPA/IND,INCUMBENT
"PANNU, JASDEEP",S,VT,REP,CHALLENGER
"PAIGE, H BROOKE",S,VT,REP,CHALLENGER
"RIVERS, DON L MR",S,WA,DEM,CHALLENGER
"TANNEHILL, CLINT RONALD",S,WA,DEM,CHALLENGER
"SAID, MOHAMMAD H.",S,WA,DEM,CHALLENGER
"KALBERER, GEORGE H",S,WA,DEM,CHALLENGER
"CANTWELL, MARIA",S,WA,DEM,INCUMBENT
"DEAL, JAMES ROBERT 'JIMMIE'",S,WA,MPA/IND,CHALLENGER
